oid,x,y,d,theta,phi,true_d,,,,
0,-4551.7,413.79,0.020281,0.54105,-0.19199,0.026087,,,,
0,-4551.7,1241.4,0.017405,0.54105,-0.19199,0.02286,,,,
0,-4551.7,2069,0.0093,0.54105,-0.19199,0.01959,,,,
0,-4551.7,2896.6,0.00090384,0.54105,-0.19199,0.016526,,,,
0,-4551.7,3724.1,0.002267,0.54105,-0.19199,0.013802,,,,
0,-4551.7,4551.7,-0.0006234,0.54105,-0.19199,0.011463,,,,
0,-4551.7,5379.3,0.00060213,0.54105,-0.19199,0.0095008,,,,
0,-4551.7,6206.9,0.0057267,0.54105,-0.19199,0.0078785,,,,
0,-4551.7,7034.5,-0.00069169,0.54105,-0.19199,0.0065481,,,,
0,-4551.7,7862.1,0.0023549,0.54105,-0.19199,0.005461,,,,
0,-4551.7,8689.7,0.0059452,0.54105,-0.19199,0.0045735,,,,
0,-4551.7,9517.2,0.0010503,0.54105,-0.19199,0.0038479,,,,
0,-4551.7,10345,0.00019961,0.54105,-0.19199,0.0032531,,,,
0,-4551.7,11172,-0.0018523,0.54105,-0.19199,0.0027636,,,,
0,-4551.7,12000,0.0034985,0.54105,-0.19199,0.0023591,,,,
0,-3724.1,-12000,0.0056575,0.54105,-0.19199,0.0072477,,,,
0,-3724.1,-11172,0.0069095,0.54105,-0.19199,0.0085527,,,,
0,-3724.1,-10345,0.012188,0.54105,-0.19199,0.010144,,,,
0,-3724.1,-9517.2,0.012116,0.54105,-0.19199,0.012083,,,,
0,-3724.1,-8689.7,0.013309,0.54105,-0.19199,0.01443,,,,
0,-3724.1,-7862.1,0.018404,0.54105,-0.19199,0.017237,,,,
0,-3724.1,-7034.5,0.023921,0.54105,-0.19199,0.020526,,,,
0,-3724.1,-6206.9,0.022657,0.54105,-0.19199,0.024247,,,,
0,-3724.1,-5379.3,0.027758,0.54105,-0.19199,0.028235,,,,
0,-3724.1,-4551.7,0.03292,0.54105,-0.19199,0.032158,,,,
0,-3724.1,-3724.1,0.044358,0.54105,-0.19199,0.035516,,,,
0,-3724.1,-2896.6,0.040749,0.54105,-0.19199,0.037725,,,,
0,-3724.1,-2069,0.043603,0.54105,-0.19199,0.0383,,,,
0,-3724.1,-1241.4,0.040053,0.54105,-0.19199,0.037073,,,,
0,-3724.1,-413.79,0.029261,0.54105,-0.19199,0.034274,,,,
0,-3724.1,413.79,0.022522,0.54105,-0.19199,0.030437,,,,
0,-3724.1,1241.4,0.012515,0.54105,-0.19199,0.026173,,,,
0,-3724.1,2069,0.011295,0.54105,-0.19199,0.021981,,,,
0,-3724.1,2896.6,0.0075681,0.54105,-0.19199,0.018174,,,,
0,-3724.1,3724.1,0.0080837,0.54105,-0.19199,0.014892,,,,
0,-3724.1,4551.7,0.0047153,0.54105,-0.19199,0.012155,,,,
0,-3724.1,5379.3,-0.0014393,0.54105,-0.19199,0.0099185,,,,
0,-3724.1,6206.9,0.0040515,0.54105,-0.19199,0.0081115,,,,
0,-3724.1,7034.5,0.0065999,0.54105,-0.19199,0.0066596,,,,
0,-3724.1,7862.1,0.0055803,0.54105,-0.19199,0.0054943,,,,
0,-3724.1,8689.7,0.0020932,0.54105,-0.19199,0.0045577,,,,
0,-3724.1,9517.2,0.011317,0.54105,-0.19199,0.0038024,,,,
0,-3724.1,10345,0.0026865,0.54105,-0.19199,0.0031905,,,,
0,-3724.1,11172,0.0034714,0.54105,-0.19199,0.0026923,,,,
0,-3724.1,12000,0.005639,0.54105,-0.19199,0.0022843,,,,
0,-2896.6,-12000,0.0069057,0.54105,-0.19199,0.0073173,,,,
0,-2896.6,-11172,0.0036158,0.54105,-0.19199,0.0087045,,,,
0,-2896.6,-10345,0.011127,0.54105,-0.19199,0.010423,,,,
0,-2896.6,-9517.2,0.0048535,0.54105,-0.19199,0.012553,,,,
0,-2896.6,-8689.7,0.019373,0.54105,-0.19199,0.015187,,,,
0,-2896.6,-7862.1,0.023581,0.54105,-0.19199,0.018416,,,,
0,-2896.6,-7034.5,0.025548,0.54105,-0.19199,0.022306,,,,
0,-2896.6,-6206.9,0.027043,0.54105,-0.19199,0.026847,,,,
0,-2896.6,-5379.3,0.031519,0.54105,-0.19199,0.031878,,,,
0,-2896.6,-4551.7,0.036691,0.54105,-0.19199,0.037002,,,,
0,-2896.6,-3724.1,0.047135,0.54105,-0.19199,0.041536,,,,
0,-2896.6,-2896.6,0.041114,0.54105,-0.19199,0.044611,,,,
0,-2896.6,-2069,0.052541,0.54105,-0.19199,0.045467,,,,
0,-2896.6,-1241.4,0.046453,0.54105,-0.19199,0.043821,,,,
0,-2896.6,-413.79,0.036259,0.54105,-0.19199,0.040039,,,,
0,-2896.6,413.79,0.026821,0.54105,-0.19199,0.034946,,,,
0,-2896.6,1241.4,0.021735,0.54105,-0.19199,0.029441,,,,
0,-2896.6,2069,0.014696,0.54105,-0.19199,0.024204,,,,
0,-2896.6,2896.6,0.013582,0.54105,-0.19199,0.019603,,,,
0,-2896.6,3724.1,0.011201,0.54105,-0.19199,0.015759,,,,
0,-2896.6,4551.7,0.0014464,0.54105,-0.19199,0.012644,,,,
0,-2896.6,5379.3,0.0046005,0.54105,-0.19199,0.010162,,,,
0,-2896.6,6206.9,-0.0012156,0.54105,-0.19199,0.0082009,,,,
0,-2896.6,7034.5,-0.0022834,0.54105,-0.19199,0.0066554,,,,
0,-2896.6,7862.1,-0.0050055,0.54105,-0.19199,0.0054355,,,,
0,-2896.6,8689.7,-0.0013591,0.54105,-0.19199,0.004469,,,,
0,-2896.6,9517.2,0.0055934,0.54105,-0.19199,0.0036992,,,,
0,-2896.6,10345,0.0057849,0.54105,-0.19199,0.0030823,,,,
